chr1	start1	end1	chr2	start2	end2	pets	chr	start	end	dup_sum_pets	gene_ID_sum_pets	percentage	score	rank_gene	gene	rank_enhancer	enhancer
chr1	207082047	207086691	chr1	207261450	207263834	6	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	1	chr1:207082047-207086691
chr1	207100157	207101435	chr1	207261450	207263834	5	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	2	chr1:207100157-207101435
chr1	207105960	207107444	chr1	207261450	207263834	3	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	3	chr1:207105960-207107444
chr1	155041903	155044329	chr1	155212621	155215129	3	chr1	154975000	155130000	3	45	0.0666666666666667	0.2	14	GBA	1	chr1:155041903-155044329
chr1	155041903	155044329	chr1	155212621	155215129	3	chr1	154975000	155130000	3	45	0.0666666666666667	0.2	14	GBA	1	chr1:155041903-155044329
chr1	156097714	156100747	chr1	156307149	156308830	6	chr1	155975000	156105000	10	35	0.285714285714286	2.85714285714286	12	CCT3	1	chr1:156097714-156100747
chr1	156071274	156077316	chr1	156307149	156308830	4	chr1	155975000	156105000	10	35	0.285714285714286	2.85714285714286	12	CCT3	2	chr1:156071274-156077316
chr1	156307149	156308830	chr1	156391025	156393588	10	chr1	156345000	156475000	19	35	0.542857142857143	10.3142857142857	2	CCT3	1	chr1:156307149-156308830
chr1	156307149	156308830	chr1	156425712	156428759	9	chr1	156345000	156475000	19	35	0.542857142857143	10.3142857142857	2	CCT3	2	chr1:156307149-156308830
chr1	207082047	207086691	chr1	207261450	207263834	6	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	1	chr1:207082047-207086691
chr1	207100157	207101435	chr1	207261450	207263834	5	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	2	chr1:207100157-207101435
chr1	207105960	207107444	chr1	207261450	207263834	3	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	3	chr1:207105960-207107444
chr1	207082047	207086691	chr1	207261450	207263834	6	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	1	chr1:207082047-207086691
chr1	207100157	207101435	chr1	207261450	207263834	5	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	2	chr1:207100157-207101435
chr1	207105960	207107444	chr1	207261450	207263834	3	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	3	chr1:207105960-207107444
chr1	207082047	207086691	chr1	207261450	207263834	6	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	1	chr1:207082047-207086691
chr1	207100157	207101435	chr1	207261450	207263834	5	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	2	chr1:207100157-207101435
chr1	207105960	207107444	chr1	207261450	207263834	3	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	3	chr1:207105960-207107444
chr1	207082047	207086691	chr1	207261450	207263834	6	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	1	chr1:207082047-207086691
chr1	207100157	207101435	chr1	207261450	207263834	5	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	2	chr1:207100157-207101435
chr1	207105960	207107444	chr1	207261450	207263834	3	chr1	207070000	207170000	14	480	0.0291666666666667	0.408333333333333	4	C4BPB	3	chr1:207105960-207107444
chr1	154988648	154991263	chr1	155153021	155165275	6	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	2	chr1:154988648-154991263
chr1	154994580	155000099	chr1	155153021	155165275	4	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	3	chr1:154994580-155000099
chr1	155041903	155044329	chr1	155153021	155165275	19	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	1	chr1:155041903-155044329
chr1	155153021	155165275	chr1	156097714	156100747	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
