chr1	start1	end1	chr2	start2	end2	pets	chr	start	end	dup_sum_pets	gene_ID_sum_pets	percentage	score	rank_gene	gene	ID	rank_enhancer	enhancer
chr1	209525290	209531905	chr1	209822021	209828468	5	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	5	chr1:209822021-209828468
chr1	209532869	209534409	chr1	209822021	209828468	3	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	7	chr1:209822021-209828468
chr1	209541855	209544765	chr1	209822021	209828468	4	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	6	chr1:209822021-209828468
chr1	209555486	209563790	chr1	209822021	209828468	6	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	4	chr1:209822021-209828468
chr1	209569413	209575336	chr1	209822021	209828468	4	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	6	chr1:209822021-209828468
chr1	209576773	209579475	chr1	209822021	209828468	6	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	4	chr1:209822021-209828468
chr1	209582590	209586267	chr1	209822021	209828468	7	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	3	chr1:209822021-209828468
chr1	209586565	209596104	chr1	209822021	209828468	9	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	2	chr1:209822021-209828468
chr1	209599440	209609734	chr1	209822021	209828468	15	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_000228.3	1	chr1:209822021-209828468
chr17	79688303	79691489	chr17	79817316	79820109	9	chr17	79680000	79700000	29	88	0.329545454545455	9.55681818181818	3	P4HB	NM_000918.4	2	chr17:79817316-79820109
chr17	79698244	79703904	chr17	79817316	79820109	20	chr17	79680000	79700000	29	88	0.329545454545455	9.55681818181818	3	P4HB	NM_000918.4	1	chr17:79817316-79820109
chr17	79698244	79703904	chr17	79848797	79850461	4	chr17	79680000	79700000	4	21	0.19047619047619	0.761904761904762	9	ANAPC11	NM_001002244.2	1	chr17:79848797-79850461
chr17	79698244	79703904	chr17	79848797	79850461	4	chr17	79680000	79700000	4	21	0.19047619047619	0.761904761904762	9	ANAPC11	NM_001002245.2	1	chr17:79848797-79850461
chr17	79698244	79703904	chr17	79848797	79850461	4	chr17	79680000	79700000	4	21	0.19047619047619	0.761904761904762	9	ANAPC11	NM_001002246.2	1	chr17:79848797-79850461
chr17	79698244	79703904	chr17	79848797	79850461	4	chr17	79680000	79700000	4	21	0.19047619047619	0.761904761904762	9	ANAPC11	NM_001002247.2	1	chr17:79848797-79850461
chr17	79698244	79703904	chr17	79848797	79850461	4	chr17	79680000	79700000	4	21	0.19047619047619	0.761904761904762	9	ANAPC11	NM_001002248.3	1	chr17:79848797-79850461
chr17	79698244	79703904	chr17	79848797	79850461	4	chr17	79680000	79700000	4	21	0.19047619047619	0.761904761904762	9	ANAPC11	NM_001002249.2	1	chr17:79848797-79850461
chr17	57182740	57184899	chr17	57913978	57927512	6	chr17	57915000	57955000	6	25	0.24	1.44	5	TRIM37	NM_001005207.5	1	chr17:57913978-57927512
chr17	57784271	57786004	chr17	57913978	57927512	26	chr17	57915000	57955000	34	52	0.653846153846154	22.2307692307692	1	PTRH2	NM_001015509.3	1	chr17:57913978-57927512
chr17	57784271	57786004	chr17	57935859	57937680	5	chr17	57915000	57955000	34	52	0.653846153846154	22.2307692307692	1	PTRH2	NM_001015509.3	2	chr17:57935859-57937680
chr17	57784271	57786004	chr17	57949377	57950673	3	chr17	57915000	57955000	34	52	0.653846153846154	22.2307692307692	1	PTRH2	NM_001015509.3	3	chr17:57949377-57950673
chr1	209525290	209531905	chr1	209822021	209828468	5	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	5	chr1:209822021-209828468
chr1	209532869	209534409	chr1	209822021	209828468	3	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	7	chr1:209822021-209828468
chr1	209541855	209544765	chr1	209822021	209828468	4	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	6	chr1:209822021-209828468
chr1	209555486	209563790	chr1	209822021	209828468	6	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	4	chr1:209822021-209828468
chr1	209569413	209575336	chr1	209822021	209828468	4	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	6	chr1:209822021-209828468
chr1	209576773	209579475	chr1	209822021	209828468	6	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	4	chr1:209822021-209828468
chr1	209582590	209586267	chr1	209822021	209828468	7	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	3	chr1:209822021-209828468
chr1	209586565	209596104	chr1	209822021	209828468	9	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	2	chr1:209822021-209828468
chr1	209599440	209609734	chr1	209822021	209828468	15	chr1	209500000	209635000	59	220	0.268181818181818	15.8227272727273	1	LAMB3	NM_001017402.2	1	chr1:209822021-209828468
chr17	79632257	79635793	chr17	79698244	79703904	5	chr17	79680000	79700000	5	23	0.217391304347826	1.08695652173913	8	OXLD1	NM_001039842.3	1	chr17:79698244-79703904
chr11	65291277	65293486	chr11	65317833	65322228	5	chr11	65320000	65325000	5	83	0.0602409638554217	0.301204819277108	6	SCYL1	NM_001048218.2	1	chr11:65317833-65322228
chr11	65148664	65151179	chr11	65317833	65322228	17	chr11	65320000	65325000	17	1165	0.0145922746781116	0.248068669527897	7	SLC25A45	NM_001077241.3	1	chr11:65317833-65322228
chr17	79688303	79691489	chr17	79788817	79792759	9	chr17	79680000	79700000	9	15	0.6	5.4	5	MCRIP1	NM_001093767.3	1	chr17:79788817-79792759
chr11	65317833	65322228	chr11	65336603	65345706	46	chr11	65320000	65325000	46	338	0.136094674556213	6.2603550295858	2	FAM89B	NM_001098784.2	1	chr11:65336603-65345706
chr11	65317833	65322228	chr11	65336603	65345706	46	chr11	65320000	65325000	46	338	0.136094674556213	6.2603550295858	2	FAM89B	NM_001098785.2	1	chr11:65336603-65345706
chr11	65317833	65322228	chr11	65336603	65345706	46	chr11	65320000	65325000	46	338	0.136094674556213	6.2603550295858	2	EHBP1L1	NM_001099409.3	1	chr11:65336603-65345706
chr3	189347116	189351345	chr3	189554114	189561740	4	chr3	189515000	189565000	4	7	0.571428571428571	2.28571428571429	2	TP63	NM_001114978.2	6	chr3:189554114-189561740
chr3	189347116	189351345	chr3	189554114	189561740	4	chr3	189515000	189565000	4	7	0.571428571428571	2.28571428571429	2	TP63	NM_001114979.2	6	chr3:189554114-189561740
chr3	189039776	189041105	chr3	189506026	189521914	3	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	6	chr3:189506026-189521914
chr3	189020259	189023993	chr3	189506026	189521914	9	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	3	chr3:189506026-189521914
chr3	189024494	189030939	chr3	189506026	189521914	11	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	2	chr3:189506026-189521914
chr3	188985174	188986658	chr3	189506026	189521914	3	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	6	chr3:189506026-189521914
chr3	189041414	189044338	chr3	189506026	189521914	6	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	4	chr3:189506026-189521914
chr3	189070836	189075220	chr3	189506026	189521914	5	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	5	chr3:189506026-189521914
chr3	189109545	189112940	chr3	189506026	189521914	6	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	4	chr3:189506026-189521914
chr3	188987206	188995848	chr3	189506026	189521914	14	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	1	chr3:189506026-189521914
chr3	189015375	189018862	chr3	189506026	189521914	3	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114980.2	6	chr3:189506026-189521914
chr3	189506026	189521914	chr3	189541846	189545805	26	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114980.2	3	chr3:189541846-189545805
chr3	189506026	189521914	chr3	189645343	189646877	5	chr3	189605000	189655000	56	412	0.135922330097087	7.61165048543689	1	TP63	NM_001114980.2	4	chr3:189645343-189646877
chr3	189506026	189521914	chr3	189652869	189656432	23	chr3	189605000	189655000	56	412	0.135922330097087	7.61165048543689	1	TP63	NM_001114980.2	1	chr3:189652869-189656432
chr3	189506026	189521914	chr3	189551415	189553653	28	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114980.2	2	chr3:189551415-189553653
chr3	189506026	189521914	chr3	189536314	189540001	7	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114980.2	5	chr3:189536314-189540001
chr3	189506026	189521914	chr3	189554114	189561740	91	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114980.2	1	chr3:189554114-189561740
chr3	189506026	189521914	chr3	189522847	189525482	13	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114980.2	4	chr3:189522847-189525482
chr3	189506026	189521914	chr3	189615886	189620727	5	chr3	189605000	189655000	56	412	0.135922330097087	7.61165048543689	1	TP63	NM_001114980.2	4	chr3:189615886-189620727
chr3	189506026	189521914	chr3	189626113	189629583	13	chr3	189605000	189655000	56	412	0.135922330097087	7.61165048543689	1	TP63	NM_001114980.2	2	chr3:189626113-189629583
chr3	189506026	189521914	chr3	189631058	189635281	10	chr3	189605000	189655000	56	412	0.135922330097087	7.61165048543689	1	TP63	NM_001114980.2	3	chr3:189631058-189635281
chr3	188985174	188986658	chr3	189506026	189521914	3	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114981.2	6	chr3:189506026-189521914
chr3	189070836	189075220	chr3	189506026	189521914	5	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114981.2	5	chr3:189506026-189521914
chr3	189506026	189521914	chr3	189554114	189561740	91	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114981.2	1	chr3:189554114-189561740
chr3	189506026	189521914	chr3	189551415	189553653	28	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114981.2	2	chr3:189551415-189553653
chr3	189506026	189521914	chr3	189522847	189525482	13	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114981.2	4	chr3:189522847-189525482
chr3	189506026	189521914	chr3	189536314	189540001	7	chr3	189515000	189565000	165	412	0.400485436893204	66.0800970873786	1	TP63	NM_001114981.2	5	chr3:189536314-189540001
chr3	189024494	189030939	chr3	189506026	189521914	11	chr3	188925000	189110000	60	412	0.145631067961165	8.7378640776699	1	TP63	NM_001114981.2	2	chr3:189506026-189521914
